Name,Published Date,review
Christy Lemire,"
                                    It is joyful. It leaps off the screen.
                                ","
                                October 10, 2018
                            "
Linda Holmes,"
                                    It's just gorgeous, like a flipbook made of dreamy vintage postcards that are somehow about contemporary life in Los Angeles.
                                ","
                                January 30, 2017
                            "
Tom Shone,"
                                    A toasty splash of sound and color .
                                ","
                                January 20, 2017
                            "
Christina Newland,"
                                    Open-hearted gushy romanticism in CinemaScope. What's not to love?
                                ","
                                January 9, 2017
                            "
Gary M. Kramer,"
                                    La La Land is a worthy showcase for the magnificent Stone's talents, and she is heartbreaking throughout.
                                ","
                                December 31, 2016
                            "
Karen D'Souza,"
                                    If you haven't already fallen for this gauzy romp through the city of Angels at this point, you surely will during the last scene, with its bittersweet homage to the way times goes by.
                                ","
                                December 30, 2016
                            "
Ignatiy Vishnevetsky,"
                                    It asks what the characters of a Cinemascope musical would have to dream about, and answers with a finale that lifts the film to a higher plane of wish fulfillment and melancholy.
                                ","
                                December 30, 2016
                            "
Paul Byrnes,"
                                    I don't know if the music will still be sung in 20 or 30 years. I do know that dance schools all around the world are going to see a rush of enrolments.
                                ","
                                December 28, 2016
                            "
Jim Slotek,"
                                    I have yet to meet someone who's watched it and come out in a bad mood.
                                ","
                                December 22, 2016
                            "
Peter Howell,"
                                    People say the movie musical is dead. Tell that that to your tapping toes while watching the enchantment of La La Land, one of the year's best films.
                                ","
                                December 22, 2016
                            "
Barry Hertz,"
                                    Almost anyone who happens to see it will be converted by minute three. Guaranteed.
                                ","
                                December 22, 2016
                            "
Christopher Orr,"
                                    Chazelle has reinvigorated the big-screen musical by embracing the present while paying tribute to the past, by balancing irony and innocence, novelty and nostalgia.
                                ","
                                December 18, 2016
                            "
Adam Graham,"
                                    ""La La Land"" is a special, special experience, and movies like this don't come around too often.
                                ","
                                December 16, 2016
                            "
Rex Reed,"
                                    The movie comes off as a well-intended tribute to the fabulous MGM musicals of the great Vincente Minnelli, made by people who have never seen one.
                                ","
                                December 15, 2016
                            "
Scott Marks,"
                                    This is one crowd-pleaser worth getting behind.
                                ","
                                December 15, 2016
                            "
Richard Roeper,"
                                    It's simply wonderful.
                                ","
                                December 15, 2016
                            "
Ann Hornaday,"
                                    Working together for the third time, Stone and Gosling quickly establish an easy rapport with one another, their surpassingly attractive physical features the perfect foils for Chazelle's aesthetic approach of naturalism and extreme stylization.
                                ","
                                December 15, 2016
                            "
Michael Phillips,"
                                    Chazelle is a born filmmaker, and he doesn't settle for rehashing familiar bits from musicals we already love. He's too busy giving us reasons to fall for this one.
                                ","
                                December 15, 2016
                            "
Calvin Wilson,"
                                    At a time when musicals seldom grace the big screen, ""La La Land"" is practically a miracle.
                                ","
                                December 15, 2016
                            "
J. R. Jones,"
                                    The musical numbers are distinctly Minnellian in their sense of lovers being swept away by the whirlwind of their mutual regard.
                                ","
                                December 15, 2016
                            "
