Movie Name,Duration,rating,Director,Starring,Votes,income
,,,,,,
Hotaru no haka,89 min,"

8.5
",Isao Takahata,"<a href=""/name/nm0851302/"">Tsutomu Tatsumi</a>","204,461",$11.99M
,,,,,,
Casablanca,102 min,"

8.5
",Michael Curtiz,"<a href=""/name/nm0000006/"">Ingrid Bergman</a>","485,900",$1.02M
,,,,,,
The Great Dictator,125 min,"

8.5
",Charles Chaplin,"<a href=""/name/nm0002104/"">Paulette Goddard</a>","185,726",$1.02M
,,,,,,
Modern Times,87 min,"

8.5
",Charles Chaplin,"<a href=""/name/nm0761866/"">Tiny Sandford</a>","196,705",$0.16M
,,,,,,
City Lights,87 min,"

8.5
",Charles Chaplin,"<a href=""/name/nm0156039/"">Virginia Cherrill</a>","151,864",$0.02M
,,,,,,
Capharnaüm,126 min,"

8.4
",Nadine Labaki,"<a href=""/name/nm9862858/"">Zain Al Rafeea</a>","29,364",$1.66M
,,,,,,
Kimi no na wa.,106 min,"

8.4
",Makoto Shinkai,"<a href=""/name/nm6954008/"">Ryô Narita</a>","146,036",$5.02M
,,,,,,
Dangal,161 min,"

8.4
",Nitesh Tiwari,"<a href=""/name/nm0451148/"">Aamir Khan</a>","130,329",$12.39M
,,,,,,
Django Unchained,165 min,"

8.4
",Quentin Tarantino,"<a href=""/name/nm0004937/"">Jamie Foxx</a>","1,243,497",$162.81M
,,,,,,
3 Idiots,170 min,"

8.4
",Rajkumar Hirani,"<a href=""/name/nm0451148/"">Aamir Khan</a>","309,259",$6.53M
,,,,,,
Taare Zameen Par,165 min,"

8.4
",Aamir Khan,"<a href=""/name/nm0451148/"">Aamir Khan</a>","147,767",$1.22M
,,,,,,
The Lives of Others,137 min,"

8.4
",Florian Henckel von Donnersmarck,"<a href=""/name/nm0311476/"">Martina Gedeck</a>","330,170",$11.29M
,,,,,,
Oldeuboi,120 min,"

8.4
",Chan-wook Park,"<a href=""/name/nm0949167/"">Ji-tae Yu</a>","470,077",$0.71M
